date,competition,stage,home_team,away_team,neutral,home_goals,away_goals
2026-06-11T19:00:00Z,world_cup_2026,group,Mexico,South Africa,1,2.0,0.0
2026-06-12T02:00:00Z,world_cup_2026,group,South Korea,Czechia,1,2.0,1.0
2026-06-12T19:00:00Z,world_cup_2026,group,Canada,Bosnia-Herzegovina,1,1.0,1.0
2026-06-13T01:00:00Z,world_cup_2026,group,United States,Paraguay,1,4.0,1.0
2026-06-13T19:00:00Z,world_cup_2026,group,Qatar,Switzerland,1,1.0,1.0
2026-06-13T22:00:00Z,world_cup_2026,group,Brazil,Morocco,1,1.0,1.0
2026-06-14T01:00:00Z,world_cup_2026,group,Haiti,Scotland,1,0.0,1.0
2026-06-14T04:00:00Z,world_cup_2026,group,Australia,Turkey,1,2.0,0.0
2026-06-14T17:00:00Z,world_cup_2026,group,Germany,Curaçao,1,7.0,1.0
2026-06-14T20:00:00Z,world_cup_2026,group,Netherlands,Japan,1,2.0,2.0
2026-06-14T23:00:00Z,world_cup_2026,group,Ivory Coast,Ecuador,1,1.0,0.0
2026-06-15T02:00:00Z,world_cup_2026,group,Sweden,Tunisia,1,5.0,1.0
2026-06-15T16:00:00Z,world_cup_2026,group,Spain,Cape Verde Islands,1,0.0,0.0
2026-06-15T19:00:00Z,world_cup_2026,group,Belgium,Egypt,1,1.0,1.0
2026-06-15T22:00:00Z,world_cup_2026,group,Saudi Arabia,Uruguay,1,1.0,1.0
2026-06-16T01:00:00Z,world_cup_2026,group,Iran,New Zealand,1,2.0,2.0
2026-06-16T19:00:00Z,world_cup_2026,group,France,Senegal,1,3.0,1.0
2026-06-16T22:00:00Z,world_cup_2026,group,Iraq,Norway,1,1.0,4.0
2026-06-17T01:00:00Z,world_cup_2026,group,Argentina,Algeria,1,3.0,0.0
2026-06-17T04:00:00Z,world_cup_2026,group,Austria,Jordan,1,3.0,1.0
2026-06-17T17:00:00Z,world_cup_2026,group,Portugal,Congo DR,1,1.0,1.0
2026-06-17T20:00:00Z,world_cup_2026,group,England,Croatia,1,4.0,2.0
2026-06-17T23:00:00Z,world_cup_2026,group,Ghana,Panama,1,1.0,0.0
2026-06-18T02:00:00Z,world_cup_2026,group,Uzbekistan,Colombia,1,1.0,3.0
2026-06-18T16:00:00Z,world_cup_2026,group,Czechia,South Africa,1,1.0,1.0
2026-06-18T19:00:00Z,world_cup_2026,group,Switzerland,Bosnia-Herzegovina,1,4.0,1.0
2026-06-18T22:00:00Z,world_cup_2026,group,Canada,Qatar,1,6.0,0.0
2026-06-19T01:00:00Z,world_cup_2026,group,Mexico,South Korea,1,1.0,0.0
2026-06-19T19:00:00Z,world_cup_2026,group,United States,Australia,1,2.0,0.0
2026-06-19T22:00:00Z,world_cup_2026,group,Scotland,Morocco,1,0.0,1.0
2026-06-20T00:30:00Z,world_cup_2026,group,Brazil,Haiti,1,3.0,0.0
2026-06-20T03:00:00Z,world_cup_2026,group,Turkey,Paraguay,1,0.0,1.0
2026-06-20T17:00:00Z,world_cup_2026,group,Netherlands,Sweden,1,5.0,1.0
2026-06-20T20:00:00Z,world_cup_2026,group,Germany,Ivory Coast,1,2.0,1.0
2026-06-21T00:00:00Z,world_cup_2026,group,Ecuador,Curaçao,1,0.0,0.0
2026-06-21T04:00:00Z,world_cup_2026,group,Tunisia,Japan,1,0.0,4.0
2026-06-21T16:00:00Z,world_cup_2026,group,Spain,Saudi Arabia,1,4.0,0.0
2026-06-21T19:00:00Z,world_cup_2026,group,Belgium,Iran,1,0.0,0.0
2026-06-21T22:00:00Z,world_cup_2026,group,Uruguay,Cape Verde Islands,1,2.0,2.0
2026-06-22T01:00:00Z,world_cup_2026,group,New Zealand,Egypt,1,1.0,3.0
2026-06-22T17:00:00Z,world_cup_2026,group,Argentina,Austria,1,2.0,0.0
2026-06-22T21:00:00Z,world_cup_2026,group,France,Iraq,1,3.0,0.0
2026-06-23T00:00:00Z,world_cup_2026,group,Norway,Senegal,1,3.0,2.0
2026-06-23T03:00:00Z,world_cup_2026,group,Jordan,Algeria,1,1.0,2.0
2026-06-23T17:00:00Z,world_cup_2026,group,Portugal,Uzbekistan,1,5.0,0.0
2026-06-23T20:00:00Z,world_cup_2026,group,England,Ghana,1,0.0,0.0
2026-06-23T23:00:00Z,world_cup_2026,group,Panama,Croatia,1,0.0,1.0
2026-06-24T02:00:00Z,world_cup_2026,group,Colombia,Congo DR,1,1.0,0.0
2026-06-24T19:00:00Z,world_cup_2026,group,Switzerland,Canada,1,2.0,1.0
